Frequency (Hz)	Level (dB)
1152.832031	-86.761879
1154.296875	-84.214180
1155.761719	-83.022484
1157.226562	-86.433014
1158.691406	-85.430489
1160.156250	-82.857445
1161.621094	-84.997147
1163.085938	-86.876236
1164.550781	-84.799683
1166.015625	-84.343575
1167.480469	-84.995918
1168.945312	-82.250191
1170.410156	-84.084038
1171.875000	-87.448524
1173.339844	-83.034447
1174.804688	-84.019318
1176.269531	-86.665993
1177.734375	-79.943886
1179.199219	-83.128441
1180.664062	-88.336967
1182.128906	-85.076286
1183.593750	-85.652763
1185.058594	-81.893524
1186.523438	-81.755074
1187.988281	-86.960129
1189.453125	-83.765846
1190.917969	-84.610161
1192.382812	-81.505058
1193.847656	-84.768143
1195.312500	-84.285896
1196.777344	-83.891838
1198.242188	-85.166939
1199.707031	-78.863243
1201.171875	-80.753082
1202.636719	-84.127716
1204.101562	-81.471825
1205.566406	-83.562454
1207.031250	-81.974869
1208.496094	-81.412788
1209.960938	-82.688690
1211.425781	-80.718086
1212.890625	-79.377754
1214.355469	-86.346230
1215.820312	-80.675995
1217.285156	-83.805008
1218.750000	-81.770096
1220.214844	-80.228859
1221.679688	-82.980156
1223.144531	-81.250931
1224.609375	-81.541473
1226.074219	-80.013329
1227.539062	-82.038254
1229.003906	-78.643784
1230.468750	-79.645332
1231.933594	-81.258530
1233.398438	-80.053696
1234.863281	-80.471336
1236.328125	-82.599220
1237.792969	-79.318863
1239.257812	-79.675194
1240.722656	-78.681961
1242.187500	-79.207230
1243.652344	-80.521881
1245.117188	-80.979355
1246.582031	-81.823318
1248.046875	-79.310150
1249.511719	-84.670654
1250.976562	-79.889336
1252.441406	-85.203072
1253.906250	-80.384377
1255.371094	-81.369614
1256.835938	-82.069458
1258.300781	-81.011322
1259.765625	-80.678558
1261.230469	-85.668335
1262.695312	-82.804787
1264.160156	-81.624222
1265.625000	-91.907219
1267.089844	-84.573975
1268.554688	-84.209206
1270.019531	-84.279266
1271.484375	-83.316086
1272.949219	-79.375618
1274.414062	-82.106354
1275.878906	-76.725388
1277.343750	-78.003922
1278.808594	-75.735291
1280.273438	-78.370636
1281.738281	-77.498512
1283.203125	-77.699013
1284.667969	-81.184441
1286.132812	-74.106697
1287.597656	-71.069962
1289.062500	-68.922989
1290.527344	-67.603500
1291.992188	-66.823181
1293.457031	-67.226509
1294.921875	-66.561607
1296.386719	-69.441086
1297.851562	-72.874847
1299.316406	-78.239395
1300.781250	-76.971016
1302.246094	-77.004349
1303.710938	-71.251427
1305.175781	-69.177696
1306.640625	-69.860229
1308.105469	-67.479301
1309.570312	-65.840851
1311.035156	-68.384804
1312.500000	-64.175331
1313.964844	-62.262112
1315.429688	-70.103958
1316.894531	-61.270741
1318.359375	-59.108658
1319.824219	-75.118706
1321.289062	-56.239697
1322.753906	-63.776371
1324.218750	-55.648151
1325.683594	-56.755890
1327.148438	-51.208591
1328.613281	-53.076263
1330.078125	-50.781364
1331.542969	-54.008999
1333.007812	-58.598164
1334.472656	-56.491966
1335.937500	-54.835365
1337.402344	-57.636864
1338.867188	-61.590508
1340.332031	-64.093239
1341.796875	-65.581833
1343.261719	-65.259880
1344.726562	-68.336304
1346.191406	-74.883652
1347.656250	-79.248238
1349.121094	-73.272331
1350.585938	-72.659576
1352.050781	-75.431076
1353.515625	-81.887726
1354.980469	-82.658875
1356.445312	-81.303116
1357.910156	-79.207733
1359.375000	-82.740509
1360.839844	-79.956566
1362.304688	-82.258263
1363.769531	-78.449860
1365.234375	-81.216072
1366.699219	-79.179176
1368.164062	-82.049866
1369.628906	-83.543243
1371.093750	-84.156929
1372.558594	-80.113838
1374.023438	-83.317398
1375.488281	-82.896667
1376.953125	-80.308311
1378.417969	-86.046074
1379.882812	-81.261543
1381.347656	-81.264992
1382.812500	-82.983711
1384.277344	-81.964684
1385.742188	-80.286865
1387.207031	-93.452568
1388.671875	-83.453682
1390.136719	-80.852127
1391.601562	-84.076241
1393.066406	-82.844460
1394.531250	-89.641739
1395.996094	-81.797485
1397.460938	-83.479980
1398.925781	-81.868881
1400.390625	-83.710167
1401.855469	-81.924644
1403.320312	-83.013504
1404.785156	-82.524437
1406.250000	-80.638306
1407.714844	-85.009750
1409.179688	-83.810959
1410.644531	-82.124565
1412.109375	-83.148972
1413.574219	-85.089943
1415.039062	-81.155991
1416.503906	-83.161743
1417.968750	-84.398590
1419.433594	-85.309532
1420.898438	-84.902634
1422.363281	-82.242012
1423.828125	-88.460991
1425.292969	-82.109306
1426.757812	-84.221420
1428.222656	-84.305260
1429.687500	-84.333191
1431.152344	-84.922890
1432.617188	-86.645752
1434.082031	-83.316177
1435.546875	-83.417381
